2026-07-18 21:31:56,165 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json "HTTP/1.1 200 OK"
2026-07-18 21:31:56,457 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-18 21:31:56,492 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json "HTTP/1.1 200 OK"
2026-07-18 21:31:56,821 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-18 21:31:56,886 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/tokenizer_config.json "HTTP/1.1 200 OK"
2026-07-18 21:31:57,257 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-07-18 21:31:57,546 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-18 21:31:57,989 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-18 21:31:58,090 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-07-18 21:31:58,496 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-07-18 21:31:58,812 | INFO     | storage | Saved workflow wf_caa5787d9bee → wf_caa5787d9bee.json
2026-07-18 21:31:58,845 | INFO     | storage | Saved workflow wf_0af60526043b → wf_0af60526043b.json
2026-07-18 21:31:58,906 | INFO     | embeddings | Persisted FAISS index (0 vectors)
2026-07-18 21:32:00,596 | INFO     | embeddings | Persisted FAISS index (38 vectors)
2026-07-18 21:32:00,630 | INFO     | pipeline | Done aircraft_manual.txt: 32 chunks, 26 actions, 2 workflows (0 merged)
2026-07-18 21:32:00,631 | INFO     | pipeline | === Processing document: prompt_engineering.txt ===
2026-07-18 21:32:00,631 | INFO     | parser | Parsing prompt_engineering.txt with TxtParser
2026-07-18 21:32:00,635 | INFO     | parser | Parsed prompt_engineering.txt: 18 units, 1 pages
2026-07-18 21:32:00,636 | INFO     | chunking | Chunked prompt_engineering.txt into 18 semantic chunks
2026-07-18 21:32:01,268 | INFO     | actions | Extracted 30 actions, 0 context notes from 18 chunks
2026-07-18 21:32:01,317 | INFO     | sequence_markers | Extracted 24 sequence-marker edges
2026-07-18 21:32:01,318 | INFO     | segmentation | Segmented 30 actions into 3 action groups (2 boundaries)
2026-07-18 21:32:02,710 | INFO     | storage | Saved workflow wf_3706c1d4ea5a → wf_3706c1d4ea5a.json
2026-07-18 21:32:02,739 | INFO     | storage | Saved workflow wf_3986e27a6a49 → wf_3986e27a6a49.json
2026-07-18 21:32:02,775 | INFO     | storage | Saved workflow wf_d55160f80f96 → wf_d55160f80f96.json
2026-07-18 21:32:02,870 | INFO     | embeddings | Persisted FAISS index (0 vectors)
2026-07-18 21:32:05,621 | INFO     | embeddings | Persisted FAISS index (99 vectors)
2026-07-18 21:32:05,654 | INFO     | pipeline | Done prompt_engineering.txt: 18 chunks, 30 actions, 3 workflows (0 merged)
2026-07-18 21:32:07,362 | INFO     | actions | Extracted 1 actions, 0 context notes from 1 chunks
2026-07-18 21:32:09,252 | INFO     | actions | Extracted 0 actions, 0 context notes from 1 chunks
